workload,layer_idx,n_banks,bank_conflicts,cycles_lost,conflict_pct
TinyBERT,4,2,20480.0,40960.0,3.759391595336739
TinyBERT,4,4,18560.0,37120.0,3.40694863327392
TinyBERT,4,8,12080.0,24160.0,2.217453636311905
TinyBERT,4,16,6830.0,13660.0,1.2537424119213831
U-Net,1,2,1168.0,2336.0,0.7858704793944491
U-Net,1,4,1058.5,2117.0,0.7121951219512196
U-Net,1,8,688.9375,1377.875,0.46354079058031955
U-Net,1,16,389.5234375,779.046875,0.2620847350714886
U-Net,2,2,34816.0,69632.0,0.7324427584497778
U-Net,2,4,31552.0,63104.0,0.6637762498451111
U-Net,2,8,20536.0,41072.0,0.4320267833043612
U-Net,2,16,11611.0,23222.0,0.2442667988384757
U-Net,3,2,51200.0,102400.0,1.0734218445119106
U-Net,3,4,46400.0,92800.0,0.972788546588919
U-Net,3,8,30200.0,60400.0,0.6331511660988223
U-Net,3,16,17075.0,34150.0,0.3579819920906421
U-Net,4,2,70144.0,140288.0,1.4647703559414518
U-Net,4,4,63568.0,127136.0,1.3274481350719407
U-Net,4,8,41374.0,82748.0,0.8639856396373408
U-Net,4,16,23392.75,46785.5,0.48849519194727126
SSD-MobileNet,1,2,7496.0,14992.0,1.7705594882950808
SSD-MobileNet,1,4,6793.25,13586.5,1.604569536267417
SSD-MobileNet,1,8,4421.46875,8842.9375,1.0443534481740517
SSD-MobileNet,1,16,2499.88671875,4999.7734375,0.5904746730984083
SSD-MobileNet,2,2,20032.0,40064.0,4.166103408043957
SSD-MobileNet,2,4,18154.0,36308.0,3.775531213539836
SSD-MobileNet,2,8,11815.75,23631.5,2.4573500570884277
SSD-MobileNet,2,16,6680.59375,13361.1875,1.389379212741222
SSD-MobileNet,3,2,74528.0,149056.0,13.921905968105595
SSD-MobileNet,3,4,67541.0,135082.0,12.616727283595694
SSD-MobileNet,3,8,43959.875,87919.75,8.211749223374785
SSD-MobileNet,3,16,24854.796875,49709.59375,4.6429012579180275
SSD-MobileNet,4,2,148032.0,296064.0,30.852276635077708
SSD-MobileNet,4,4,134154.0,268308.0,27.959875700539172
SSD-MobileNet,4,8,87315.75,174631.5,18.198022546471616
SSD-MobileNet,4,16,49368.09375,98736.1875,10.28911374109281
