workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
EfficientDet-Lite0,4,edet_p5,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,92928.0,613,1.0,24054.812398042413,1.0,93429760.0
EfficientDet-Lite0,4,edet_p5,IS,ROW_MAJOR,IS-RM,16,16384,16,4,92928.0,4713,0.13006577551453427,3128.70782940802,1.0,93429760.0
EfficientDet-Lite0,4,edet_p5,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,93808.64,4757,0.1288627286104688,3099.7687618246796,1.0094765840220385,94279840.0
EfficientDet-Lite0,4,edet_p5,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,94387.2,4787,0.12805514936285775,3080.3425945268436,1.015702479338843,94838720.0
EfficientDet-Lite0,4,edet_p5,WS,ROW_MAJOR,WS-RM,16,16384,16,4,104642.56,7536,0.08134288747346072,1956.687898089172,1.126060606060606,104742320.0
EfficientDet-Lite0,4,edet_p5,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,92928.0,6693,0.09158822650530404,2203.1376064545047,1.0,93429760.0
EfficientDet-Lite0,4,edet_p5,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,99276.79999999999,7150,0.08573426573426574,2062.3216783216785,1.06831955922865,99560640.0
DS-CNN-KWS,1,kws_t1,OS,ROW_MAJOR,OS-RM,16,16384,16,4,74115.2,104,0.7019230769230769,8684.307692307691,1.4381248059608815,2415952.0
DS-CNN-KWS,1,kws_t1,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,65585.28,92,0.7934782608695652,9817.04347826087,1.2726109903756597,2163952.0
DS-CNN-KWS,1,kws_t1,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,51536.0,73,1.0,12372.164383561643,1.0,1748992.0
DS-CNN-KWS,1,kws_t1,IS,ROW_MAJOR,IS-RM,16,16384,16,4,51536.0,825,0.08848484848484849,1094.749090909091,1.0,1748992.0
DS-CNN-KWS,1,kws_t1,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,51630.10749999999,826,0.08837772397094432,1093.4237288135594,1.0018260536324122,1751232.0
