workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
3D-UNet,3,unet3d_d2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,411648.0,5253,1.7614696363982487,28744.516276413477,1.0,351993856.0
3D-UNet,3,unet3d_d2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,443217.92,5655,1.6362511052166224,26701.13952254642,1.0766915422885572,376093456.0
3D-UNet,3,unet3d_d2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,464256.0,5924,1.561951384199865,25488.68062120189,1.1277985074626866,392153696.0
3D-UNet,3,unet3d_d2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,414453.76000000007,264008,0.03504818035817096,571.9332141450259,1.00681592039801,354135296.0
3D-UNet,3,unet3d_d2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,411648.0,262221,0.035287028880219354,575.8308602285858,1.0,351993856.0
3D-UNet,3,unet3d_d2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,413150.72000000003,263178,0.035158713874260006,573.7369536967376,1.0036504975124378,353140736.0
3D-UNet,4,unet3d_d1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,909004.8,21223,0.8702351222730057,7114.684257645008,1.149126213592233,718448896.0
3D-UNet,4,unet3d_d1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,864440.32,20182,0.9151223862848082,7481.664057080567,1.092789644012945,685077376.0
3D-UNet,4,unet3d_d1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,791040.0,18469,1.0,8175.588499648059,1.0,630112256.0
3D-UNet,4,unet3d_d1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,791040.0,16677,1.107453378905079,9054.083108472747,1.0,630112256.0
3D-UNet,4,unet3d_d1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,853982.7199999999,18003,1.02588457479309,8387.210131644726,1.0795695792880258,677246336.0
3D-UNet,4,unet3d_d1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,895942.4,18888,0.9778166031342651,7994.226175349429,1.1326132686084143,708667376.0
3D-UNet,4,unet3d_d1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,791741.44,524775,0.035194130817969606,287.73273117050167,1.0008867313915857,630636976.0
3D-UNet,4,unet3d_d1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,791040.0,524311,0.03522527660110125,287.98736627688527,1.0,630112256.0
3D-UNet,4,unet3d_d1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,791415.6799999999,524560,0.03520855574195516,287.85066341314626,1.0004749190938511,630393376.0
RNN-T,1,rnnt_enc1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,89292.8,179,0.9217877094972067,46863.73184357542,1.09,62101712.0
RNN-T,1,rnnt_enc1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,86179.84,173,0.953757225433526,48489.06358381503,1.052,60009552.0
RNN-T,1,rnnt_enc1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,81920.0,165,1.0,50840.048484848485,1.0,57147392.0
RNN-T,1,rnnt_enc1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,81920.0,1285,0.12840466926070038,6528.099610894942,1.0,57147392.0
RNN-T,1,rnnt_enc1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,86302.72,1353,0.12195121951219512,6200.005912786401,1.0535,60092432.0
RNN-T,1,rnnt_enc1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,89190.4,1399,0.11794138670478914,5996.145818441744,1.0887499999999999,62032832.0
RNN-T,1,rnnt_enc1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,85032.95999999999,34084,0.0048409811055040485,246.11571411806125,1.0379999999999998,59238992.0
RNN-T,1,rnnt_enc1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,81920.0,32837,0.0050248195632975,255.46207022566009,1.0,57147392.0
RNN-T,1,rnnt_enc1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,83681.28,33542,0.004919205771868105,250.092659948721,1.0215,58330672.0
RNN-T,2,rnnt_enc2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,143360.0,180,0.9166666666666666,93206.75555555556,1.09375,84475904.0
RNN-T,2,rnnt_enc2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,137953.28,173,0.953757225433526,96978.12716763005,1.0525,81447984.0
RNN-T,2,rnnt_enc2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,131072.0,165,1.0,101680.09696969697,1.0,77594624.0
RNN-T,2,rnnt_enc2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,131072.0,2309,0.07145950627977479,7266.00952793417,1.0,77594624.0
RNN-T,2,rnnt_enc2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,135454.72,2386,0.0691533948030176,7031.523889354568,1.0334375,80048544.0
RNN-T,2,rnnt_enc2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,138342.4,2437,0.06770619614279852,6884.372589249077,1.05546875,81665824.0
RNN-T,2,rnnt_enc2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,138608.64,34792,0.004742469533226029,482.21476201425617,1.0575,81814784.0
